"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@NHP_INDIA @MoHFW_INDIA Just #Ban #Tobacco in #India",FALSE,0,"NHP_INDIA",2017-09-04 11:32:19,FALSE,"904577540081123328","904668444267659264","1497890814","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","juned_malek",0,FALSE,FALSE,NA,NA
"2","RT @karantacker: Working on a really cool concept with the team of Facebook india! 
Watch this space !  <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> <ed><U+00A0><U+00BC><ed><U+00BE><U+00A4>

#facebook #india #MondayMot…",FALSE,0,NA,2017-09-04 11:32:17,FALSE,NA,"904668434985652224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Azhar93117741",22,TRUE,FALSE,NA,NA
"3","#Kerala #India has a rich tradition of being a unique state.During #Onam #Hindus #christians and #muslims come toge… https://t.co/iTAfxhayvG",FALSE,0,NA,2017-09-04 11:32:13,TRUE,NA,"904668418736963584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FiloAbraham",0,FALSE,FALSE,NA,NA
"4","RT @dianneanoble1: #Travel to #India #suspense #romance
Join Rose's #search for her #daughter in #Kolkata https://t.co/KTK8omCjbi
https://t…",FALSE,0,NA,2017-09-04 11:32:05,FALSE,NA,"904668384280821760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","firstbluelucy",10,TRUE,FALSE,NA,NA
"5","#india #delhi #haryana #badminton @Pvsindhu1 @NSaina https://t.co/GnNwHPI1Ty",FALSE,0,NA,2017-09-04 11:32:02,FALSE,NA,"904668372553449472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","imranloverayyan",0,FALSE,FALSE,NA,NA
"6","RT @cjwerleman: Hindu extremists destroy three homes belonging to a Muslim man, falsely accusing him of slaughtering a cow. #India https://…",FALSE,0,NA,2017-09-04 11:31:55,FALSE,NA,"904668342606233600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SHDAlsaif",1411,TRUE,FALSE,NA,NA
"7","RT @dawn_com: The ban on triple talaq is just one step toward justice for Muslim women in #India
https://t.co/BNBqGQE27O https://t.co/Ty7vN…",FALSE,0,NA,2017-09-04 11:31:55,FALSE,NA,"904668341746401280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","faaizsam79",3,TRUE,FALSE,NA,NA
"8","RT @Omkar_Raii: #India is looking to introduce a new category of visas with a liberal framework for #entrepreneurs &amp; #researchers. https://…",FALSE,0,NA,2017-09-04 11:31:29,FALSE,NA,"904668234611171328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VINEETK66695081",61,TRUE,FALSE,NA,NA
"9","RT @e_architect: Punjab Kesari Headquarters
https://t.co/TcU3WaKUZ1
#SustainableFlexibleOfficeSpace, #ResponsiveFacade in #India https://t.…",FALSE,0,NA,2017-09-04 11:31:29,FALSE,NA,"904668233919279105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","figlez76",2,TRUE,FALSE,NA,NA
"10","RT @DarshanChokhani: Lalhruaizela beats fellow #Mizoram rider Lalnunsanga to represent #India in #RookiesCup selection event in #Spain: htt…",FALSE,0,NA,2017-09-04 11:31:23,FALSE,NA,"904668209076457472",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ETC2500",2,TRUE,FALSE,NA,NA
"11","RT @dawn_com: The ban on triple talaq is just one step toward justice for Muslim women in #India
https://t.co/BNBqGQE27O https://t.co/Ty7vN…",FALSE,0,NA,2017-09-04 11:31:22,FALSE,NA,"904668205842563072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MaqsoodAsi",3,TRUE,FALSE,NA,NA
"12","RT @DarshanChokhani: Lalhruaizela beats fellow #Mizoram rider Lalnunsanga to represent #India in #RookiesCup selection event in #Spain: htt…",FALSE,0,NA,2017-09-04 11:31:19,FALSE,NA,"904668189757325312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","inRedBull",2,TRUE,FALSE,NA,NA
"13","RT @harishbijoor: iTWEET:The #GarbageUru moniker is back.This is a road in AustinTown.Half the road is #garbage! #BBMP #Bengaluru #India ht…",FALSE,0,NA,2017-09-04 11:31:12,FALSE,NA,"904668160586022912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TooTrlllGuddaV",1,TRUE,FALSE,NA,NA
"14","Urban Reality: Is National Green Tribunal an effective eco-warrior? #India... https://t.co/C98rl6ZlPV",FALSE,0,NA,2017-09-04 11:31:08,FALSE,NA,"904668147449569281",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","TheLawMap",0,FALSE,FALSE,NA,NA
"15","#uxjobs (#India) UI Designer - 99tests - Bengaluru, Karnataka https://t.co/zdDQhwjqfK",FALSE,0,NA,2017-09-04 11:31:08,FALSE,NA,"904668146686201856",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","UXJOBS_IMEA",0,FALSE,FALSE,NA,NA
"16","Top 15 #offbeat destinations in #India for solo male #travellers - https://t.co/FzVOS1QXFE
#travel #ttot #adventure… https://t.co/E8XGyi4PP1",FALSE,0,NA,2017-09-04 11:31:03,TRUE,NA,"904668126339624960",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","tripoto",0,FALSE,FALSE,NA,NA
"17","What will you say if 12,500 lawyers committed suicide in 1 year in a country?
12, 500 doctors? 12,500 businessmen?… https://t.co/guWLADNIHg",FALSE,0,NA,2017-09-04 11:30:59,TRUE,NA,"904668107242745856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mgrg7",0,FALSE,FALSE,NA,NA
"18","The Ken River Lodge! Are you ready to take on? #India #KenRiverLodge  #PannaNationalPark#travel #trip #tour #yolo… https://t.co/sdFNSUfyqo",FALSE,0,NA,2017-09-04 11:30:48,TRUE,NA,"904668063143886848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Expedition2Inc",0,FALSE,FALSE,NA,NA
"19","little #India #deepavali #diwali light decoration https://t.co/2Bq2YyJkf3",FALSE,0,NA,2017-09-04 11:30:48,FALSE,NA,"904668061076217857",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","visantube",0,FALSE,FALSE,NA,NA
"20","RT @thisisbuehler: This is #devastating and #heartbreaking  Sending my prayers for victims and families in #Mumbai #India    https://t.co/w…",FALSE,0,NA,2017-09-04 11:30:43,FALSE,NA,"904668039752318976",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","charl90_ch",3769,TRUE,FALSE,NA,NA
